ekatte_code,settlement_name_bg,settlement_name_en,settlement_type,oblast_code,oblast_name_bg,obshtina_name_bg,nuts3_code
12214,Враняк,Vranyak,село,VRC,Враца,Бяла Слатина,BG313
12228,Враня стена,Vranya stena,село,PER,Перник,Земен,BG414
12231,Вратарите,Vratarite,село,DOB,Добрич,Добрич-селска,BG332
12245,Вратица,Vratitsa,село,BGS,Бургас,Камено,BG341
12259,Враца,Vratsa,град,VRC,Враца,Враца,BG313
12262,Врачанци,Vrachantsi,село,DOB,Добрич,Добрич-селска,BG332
12283,Врачеш,Vrachesh,село,SFO,София,Ботевград,BG412
12293,Врело,Vrelo,село,KRZ,Кърджали,Момчилград,BG425
12303,Вресово,Vresovo,село,BGS,Бургас,Руен,BG341
12317,Връв,Vrav,село,VID,Видин,Брегово,BG311
12320,Връдловци,Vradlovtsi,село,SFO,София,Годеч,BG412
12334,Всемирци,Vsemirtsi,село,PAZ,Пазарджик,Велинград,BG423
12348,Вукан,Vukan,село,PER,Перник,Трън,BG414
12351,Вуково,Vukovo,село,KNL,Кюстендил,Бобошево,BG415
12365,Въбел,Vabel,село,PVN,Плевен,Никопол,BG314
12382,Въгларово,Vaglarovo,село,HKV,Хасково,Хасково,BG422
12396,Въглевци,Vaglevtsi,село,VTR,Велико Търново,Велико Търново,BG321
12406,Въглен,Vaglen,село,VAR,Варна,Аксаково,BG331
12414,Въглен,Vaglen,село,SLV,Сливен,Сливен,BG342
12423,Възел,Vazel,село,KRZ,Кърджали,Черноочене,BG425
12440,Вълкан,Valkan,село,SLS,Силистра,Главиница,BG325
12454,Вълков дол,Valkov dol,село,GAB,Габрово,Габрово,BG322
12468,Вълкович,Valkovich,село,KRZ,Кърджали,Джебел,BG425
12471,Вълково,Valkovo,село,BLG,Благоевград,Сандански,BG413
12485,Вълковци,Valkovtsi,село,GAB,Габрово,Трявна,BG322
12499,Вълкосел,Valkosel,село,BLG,Благоевград,Сатовча,BG413
12509,Вълнари,Valnari,село,SHU,Шумен,Никола Козлево,BG333
12512,Вълчан,Valchan,село,SML,Смолян,Смолян,BG424
12526,Вълчан дол,Valchan dol,село,SML,Смолян,Баните,BG424
12530,Вълча поляна,Valcha polyana,село,JAM,Ямбол,Елхово,BG343
12543,Вълчедръм,Valchedram,град,MON,Монтана,Вълчедръм,BG312
12557,Вълчек,Valchek,село,VID,Видин,Макреш,BG311
12560,Вълче поле,Valche pole,село,HKV,Хасково,Любимец,BG422
12574,Вълчи дол,Valchi dol,град,VAR,Варна,Вълчи дол,BG331
12588,Вълчи извор,Valchi izvor,село,JAM,Ямбол,Болярово,BG343
12591,Вълчин,Valchin,село,BGS,Бургас,Сунгурларе,BG341
12601,Вълчитрън,Valchitran,село,PVN,Плевен,Пордим,BG314
12615,Вълчовци,Valchovtsi,село,VTR,Велико Търново,Елена,BG321
12629,Вълчовци,Valchovtsi,село,VTR,Велико Търново,Елена,BG321
12632,Върба,Varba,село,VID,Видин,Белоградчик,BG311
12655,Върба,Varba,село,SML,Смолян,Мадан,BG424
12663,Върбак,Varbak,село,SHU,Шумен,Хитрино,BG333
12677,Царева ливада,Tsareva livada,село,GAB,Габрово,Дряново,BG322
12680,Върбен,Varben,село,PDV,Пловдив,Брезово,BG421
